Time (s)	mass (g)	mass error (g)	volume(cm^3)	volume error (cm^3)
20	1.3	0.1	1.3	0.1
40	3.4	0.1	3.4	0.1
60	5.6	0.1	5.6	0.1
80	7.6	0.1	7.6	0.1
100	9.8	0.1	9.8	0.1
120	12	0.1	12	0.1
140	14.1	0.1	14.1	0.1
160	16.2	0.1	16.2	0.1
180	18.3	0.1	18.3	0.1
200	20.5	0.1	20.5	0.1
220	22.6	0.1	22.6	0.1
240	24.7	0.1	24.7	0.1
