Time (s)	mass (g)	mass error (g)	volume(cm^3)	volume error (cm^3)
60	0.3	0.1	0.3	0.1
240	1.3	0.1	1.3	0.1
420	2.3	0.1	2.3	0.1
540	2.9	0.1	2.9	0.1
740	4	0.1	4.0	0.1
900	4.8	0.1	4.8	0.1
1020	5.4	0.1	5.4	0.1
1140	6.1	0.1	6.1	0.1
1320	7	0.1	7.0	0.1
1440	7.7	0.1	7.7	0.1
1620	8.6	0.1	8.6	0.1
1800	9.5	0.1	9.5	0.1
